cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,roles,max_priority,stability
0,19,19,0.0,100000000456947100;100000003265658100;100000003349739100;100000003770083100;100000004021459100,"Гипотеза: 19 узлов без переводов в выборке (19 seed). Связи вне данных: нужны переводы ниже 5 000 ₸, межбанковские и наличные.",peripheral:19,0.03,1.0
1,270,1,10178044.0,100000002578405100;100000001697501100;100000002527114100;100000001166289100;100000008493007100,"Гипотеза: контур раздачи. 3 распределителя рассылают деньги 265 получателям; 1 seed, оборот 10,18 млн ₸. Возможны выплаты участникам или обналичивание.","peripheral:261, distributor:3, terminal:3, transit:3",0.587,1.0
2,253,1,27271963.39,100000000437046100;100000004400305100;100000008477350100;100000008686313100;100000002957787100,"Гипотеза: ядро схемы. Координатор 100000000437046100 связывает сбор (9 точек консолидации) и раздачу (5 распределителей); 1 seed, оборот внутри 27,27 млн ₸. Проверять в первую очередь.","peripheral:182, terminal:41, transit:11, consolidator:9, coordinator:5, distributor:5",0.86,0.973
3,152,3,19885490.0,100000008165763100;100000003684369100;100000007908818100;100000008111003100;100000008304139100,"Гипотеза: ядро схемы. Координатор 100000008165763100 связывает сбор (4 точки консолидации) и раздачу (6 распределителей); 3 seed, оборот внутри 19,89 млн ₸. Проверять в первую очередь.","peripheral:99, terminal:38, distributor:6, consolidator:4, transit:3, coordinator:2",0.821,0.852
4,131,7,18913780.28,100000003016635100;100000004150593100;100000001530983100;100000006518161100;100000004707703100,"Гипотеза: ядро схемы. Координатор 100000003016635100 связывает сбор (2 точки консолидации) и раздачу (2 распределителя); 7 seed, оборот внутри 18,91 млн ₸. Проверять в первую очередь.","peripheral:85, terminal:33, transit:8, distributor:2, consolidator:2, coordinator:1",0.705,0.97
5,128,0,27235142.0,100000008547948100;100000008710791100;100000008489922100;100000008517538100;100000008547844100,"Гипотеза: ядро схемы. Координатор 100000008547948100 связывает сбор (3 точки консолидации) и раздачу (7 распределителей); 0 seed, оборот внутри 27,24 млн ₸. Проверять в первую очередь.","peripheral:77, terminal:37, distributor:7, consolidator:3, transit:3, coordinator:1",0.834,0.808
6,126,0,14788037.85,100000008603629100;100000001857829100;100000002741024100;100000003880331100;100000005910114100,"Гипотеза: ядро схемы. Координатор 100000008603629100 стоит над раздачей денег через 4 распределителя; 0 seed, оборот внутри 14,79 млн ₸. Проверять в первую очередь.","peripheral:96, terminal:21, distributor:4, coordinator:3, transit:2",0.858,0.706
7,126,0,24907250.33,100000000331309100;100000006889963100;100000000332284100;100000003796063100;100000006734214100,"Гипотеза: ядро схемы. Координатор 100000000331309100 связывает сбор (6 точек консолидации) и раздачу (2 распределителя); 0 seed, оборот внутри 24,91 млн ₸. Проверять в первую очередь.","peripheral:72, terminal:42, consolidator:6, transit:3, distributor:2, coordinator:1",0.862,0.947
8,106,4,16242879.02,100000005782781100;100000004015047100;100000002894076100;100000001616816100;100000005778283100,"Гипотеза: ядро схемы. Координатор 100000005782781100 связывает сбор (4 точки консолидации) и раздачу (2 распределителя); 4 seed, оборот внутри 16,24 млн ₸. Проверять в первую очередь.","peripheral:75, terminal:20, consolidator:4, transit:4, distributor:2, coordinator:1",0.785,0.706
9,91,1,9080395.26,100000005704413100;100000005578559100;100000002838861100;100000006972210100;100000008379273100,"Гипотеза: контур раздачи. 4 распределителя рассылают деньги 81 получателям; 1 seed, оборот 9,08 млн ₸. Возможны выплаты участникам или обналичивание.","peripheral:65, terminal:19, distributor:4, consolidator:2, transit:1",0.666,0.777
10,59,1,6772097.0,100000003115284100;100000008730846100;100000000343175100;100000007998965100;100000006707582100,"Гипотеза: ядро схемы. Координатор 100000000343175100 связывает сбор (3 точки консолидации) и раздачу (1 распределитель); 1 seed, оборот внутри 6,77 млн ₸. Проверять в первую очередь.","peripheral:37, terminal:14, consolidator:3, transit:3, coordinator:1, distributor:1",0.789,0.799
11,52,5,4171441.0,100000008346837100;100000005074393100;100000006020215100;100000000489417100;100000005882013100,"Гипотеза: узел-хаб 100000008346837100 собирает и раздаёт деньги внутри группы из 52 участников; 5 seed, оборот 4,17 млн ₸.","peripheral:41, terminal:8, transit:2, coordinator:1",0.8,0.962
12,51,1,2950313.0,100000003265158100;100000004386331100;100000004386258100;100000004420041100;100000001899164100,"Гипотеза: контур раздачи. 1 распределитель рассылает деньги 27 получателям; 1 seed, оборот 2,95 млн ₸. Возможны выплаты участникам или обналичивание.","peripheral:42, terminal:5, transit:2, consolidator:1, distributor:1",0.643,1.0
13,51,0,13990812.0,100000008512827100;100000008742053100;100000001282143100;100000005242320100;100000002956769100,"Гипотеза: контур раздачи. 3 распределителя рассылают деньги 43 получателям; 0 seed, оборот 13,99 млн ₸. Возможны выплаты участникам или обналичивание.","terminal:26, peripheral:21, distributor:3, consolidator:1",0.648,1.0
14,44,0,10215968.84,100000005933757100;100000002605308100;100000001937767100;100000002963189100;100000001904863100,"Гипотеза: контур раздачи. 1 распределитель рассылает деньги 34 получателям; 0 seed, оборот 10,22 млн ₸. Возможны выплаты участникам или обналичивание.","peripheral:38, terminal:5, distributor:1",0.717,1.0
15,41,3,4888834.28,100000004156082100;100000004820260100;100000005339662100;100000004527381100;100000004816564100,"Гипотеза: узел-хаб 100000004156082100 собирает и раздаёт деньги внутри группы из 41 участников; 3 seed, оборот 4,89 млн ₸.","peripheral:30, terminal:7, transit:3, coordinator:1",0.808,0.91
16,41,0,5151924.19,100000003242289100;100000008413748100;100000008512552100;100000006225798100;100000003178549100,"Гипотеза: контур раздачи. 2 распределителя рассылают деньги 41 получателям; 0 seed, оборот 5,15 млн ₸. Возможны выплаты участникам или обналичивание.","peripheral:31, terminal:8, distributor:2",0.675,1.0
17,30,1,6513430.0,100000003854444100;100000007594394100;100000008546855100;100000006274203100;100000005661829100,"Гипотеза: контур сбора. 2 точки консолидации аккумулируют средства участников группы из 30; 1 seed, оборот 6,51 млн ₸.","peripheral:16, terminal:9, consolidator:2, transit:2, distributor:1",0.647,1.0
18,29,0,446070.0,100000008460102100;100000001164648100;100000004891562100;100000002706810100;100000008715513100,"Гипотеза: контур раздачи. 1 распределитель рассылает деньги 31 получателям; 0 seed, оборот 446 070 ₸. Возможны выплаты участникам или обналичивание.","peripheral:27, distributor:1, terminal:1",0.504,1.0
19,26,14,2289450.0,100000004403675100;100000005382566100;100000005523088100;100000004041163100;100000008254069100,"Гипотеза: контур сбора. 2 точки консолидации аккумулируют средства участников группы из 26; 14 seed, оборот 2,29 млн ₸.","peripheral:21, terminal:3, consolidator:2",0.699,1.0
20,25,0,5089597.0,100000006977207100;100000005527892100;100000002459832100;100000002936322100;100000008343874100,"Гипотеза: контур раздачи. 1 распределитель рассылает деньги 15 получателям; 0 seed, оборот 5,09 млн ₸. Возможны выплаты участникам или обналичивание.","peripheral:12, terminal:11, distributor:1, transit:1",0.493,1.0
21,25,0,7556605.0,100000008710843100;100000008743913100;100000001303311100;100000001141268100;100000001887715100,"Гипотеза: контур раздачи. 2 распределителя рассылают деньги 26 получателям; 0 seed, оборот 7,56 млн ₸. Возможны выплаты участникам или обналичивание.","terminal:11, peripheral:11, distributor:2, consolidator:1",0.657,1.0
22,20,0,617900.0,100000003154105100;100000000723383100;100000001427082100;100000002185328100;100000002448088100,Гипотеза: периферийная группа из 20 узлов без выраженных ролей; 0 seed.,peripheral:20,0.35,1.0
23,18,0,3422800.0,100000003701161100;100000008137435100;100000002267998100;100000003718221100;100000003104347100,"Гипотеза: периферия, деньги оседают у 4 конечных получателей; 0 seed, оборот 3,42 млн ₸. Низкий приоритет.","peripheral:14, terminal:4",0.466,1.0
24,17,1,21586840.0,100000002224132100;100000000594783100;100000004892144100;100000000552584100;100000004603109100,"Гипотеза: контур сбора. 1 точка консолидации аккумулирует средства участников группы из 17; 1 seed, оборот 21,59 млн ₸.","peripheral:9, terminal:7, consolidator:1",0.597,1.0
