cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,roles,max_priority,stability
25,17,1,2977887.0,100000004160650100;100000002731501100;100000003275398100;100000003031890100;100000002886166100,"Гипотеза: контур раздачи. 1 распределитель рассылает деньги 10 получателям; 1 seed, оборот 2,98 млн ₸. Возможны выплаты участникам или обналичивание.","peripheral:10, terminal:6, distributor:1",0.494,1.0
26,15,0,850450.0,100000002472632100;100000001526235100;100000001788284100;100000005505655100;100000000860514100,"Гипотеза: периферия, деньги оседают у 1 конечного получателя; 0 seed, оборот 850 450 ₸. Низкий приоритет.","peripheral:14, terminal:1",0.403,1.0
27,15,0,3626010.0,100000006704530100;100000008461532100;100000000791285100;100000003122817100;100000002691583100,"Гипотеза: транзитная цепочка из 15 узлов, 1 транзитных счетов; 0 seed, оборот 3,63 млн ₸.","peripheral:11, terminal:3, transit:1",0.486,1.0
28,15,0,3436955.0,100000005171642100;100000003111305100;100000002152857100;100000006664478100;100000004221668100,"Гипотеза: транзитная цепочка из 15 узлов, 2 транзитных счетов; 0 seed, оборот 3,44 млн ₸.","peripheral:10, terminal:3, transit:2",0.372,1.0
29,14,0,1605604.0,100000007382543100;100000000838385100;100000008213966100;100000003001661100;100000008655779100,Гипотеза: периферийная группа из 14 узлов без выраженных ролей; 0 seed.,peripheral:14,0.367,1.0
30,13,1,1392916.0,100000003164661100;100000005077484100;100000001380054100;100000001782980100;100000006232815100,"Гипотеза: периферия, деньги оседают у 2 конечных получателей; 1 seed, оборот 1,39 млн ₸. Низкий приоритет.","peripheral:11, terminal:2",0.263,1.0
31,13,0,6748650.0,100000007442518100;100000008258083100;100000000673868100;100000000821507100;100000002911170100,"Гипотеза: узел-хаб 100000007442518100 собирает и раздаёт деньги внутри группы из 13 участников; 0 seed, оборот 6,75 млн ₸.","terminal:7, peripheral:5, coordinator:1",0.78,1.0
32,11,0,3784703.0,100000002175422100;100000003004487100;100000001317336100;100000002975437100;100000003557488100,"Гипотеза: периферия, деньги оседают у 3 конечных получателей; 0 seed, оборот 3,78 млн ₸. Низкий приоритет.","peripheral:8, terminal:3",0.41,1.0
33,10,0,322010.0,100000008172352100;100000000993112100;100000007322059100;100000004552204100;100000001597505100,"Гипотеза: периферия, деньги оседают у 1 конечного получателя; 0 seed, оборот 322 010 ₸. Низкий приоритет.","peripheral:9, terminal:1",0.391,1.0
34,10,0,603900.0,100000003635170100;100000008501413100;100000003321423100;100000004209339100;100000002156381100,"Гипотеза: транзитная цепочка из 10 узлов, 2 транзитных счетов; 0 seed, оборот 603 900 ₸.","peripheral:7, transit:2, terminal:1",0.563,1.0
35,10,0,1727065.0,100000004336312100;100000005519998100;100000004076740100;100000004017410100;100000005767403100,"Гипотеза: транзитная цепочка из 10 узлов, 2 транзитных счетов; 0 seed, оборот 1,73 млн ₸.","peripheral:8, transit:2",0.502,1.0
36,9,0,1406982.0,100000002217161100;100000007647294100;100000001445848100;100000008254576100;100000002242066100,"Гипотеза: периферия, деньги оседают у 1 конечного получателя; 0 seed, оборот 1,41 млн ₸. Низкий приоритет.","peripheral:8, terminal:1",0.405,1.0
37,8,0,2473417.91,100000004906181100;100000008175078100;100000008675322100;100000000557536100;100000008349740100,Гипотеза: периферийная группа из 8 узлов без выраженных ролей; 0 seed.,peripheral:8,0.416,1.0
38,8,0,389000.0,100000005507142100;100000002612809100;100000001825934100;100000005264874100;100000002214207100,Гипотеза: периферийная группа из 8 узлов без выраженных ролей; 0 seed.,peripheral:8,0.155,1.0
39,7,0,143000.0,100000004508696100;100000005911352100;100000000507799100;100000002217806100;100000004549591100,Гипотеза: периферийная группа из 7 узлов без выраженных ролей; 0 seed.,peripheral:7,0.313,1.0
40,7,0,3077000.0,100000002241986100;100000001053894100;100000002594214100;100000004047887100;100000001286703100,Гипотеза: периферийная группа из 7 узлов без выраженных ролей; 0 seed.,peripheral:7,0.392,1.0
41,7,3,4442461.0,100000008637537100;100000003404627100;100000001732159100;100000008232832100;100000008314203100,"Гипотеза: контур сбора. 1 точка консолидации аккумулирует средства участников группы из 7; 3 seed, оборот 4,44 млн ₸.","peripheral:5, consolidator:1, terminal:1",0.597,1.0
42,7,0,1765600.0,100000007392365100;100000007865484100;100000008551752100;100000003631015100;100000004976946100,Гипотеза: периферийная группа из 7 узлов без выраженных ролей; 0 seed.,peripheral:7,0.378,1.0
43,7,0,1268308.0,100000008011159100;100000006169033100;100000006232642100;100000003664994100;100000005754335100,Гипотеза: периферийная группа из 7 узлов без выраженных ролей; 0 seed.,peripheral:7,0.352,1.0
44,6,1,1615030.0,100000005456919100;100000008736940100;100000008751429100;100000008193577100;100000008659445100,"Гипотеза: периферия, деньги оседают у 1 конечного получателя; 1 seed, оборот 1,62 млн ₸. Низкий приоритет.","peripheral:5, terminal:1",0.308,1.0
45,6,1,1527967.0,100000007939160100;100000005183943100;100000000580561100;100000003888271100;100000000955444100,"Гипотеза: периферия, деньги оседают у 2 конечных получателей; 1 seed, оборот 1,53 млн ₸. Низкий приоритет.","peripheral:4, terminal:2",0.275,1.0
46,6,0,2540000.0,100000004717647100;100000004479404100;100000002922000100;100000002659103100;100000001533161100,Гипотеза: периферийная группа из 6 узлов без выраженных ролей; 0 seed.,peripheral:6,0.403,1.0
47,6,1,275885.0,100000005895525100;100000002462183100;100000005485830100;100000007175718100;100000005056870100,"Гипотеза: периферия, деньги оседают у 2 конечных получателей; 1 seed, оборот 275 885 ₸. Низкий приоритет.","peripheral:4, terminal:2",0.226,1.0
48,6,0,2534500.0,100000003747133100;100000004722765100;100000005075949100;100000006527156100;100000002578653100,"Гипотеза: контур сбора. 1 точка консолидации аккумулирует средства участников группы из 6; 0 seed, оборот 2,53 млн ₸.","peripheral:5, consolidator:1",0.614,1.0
49,6,0,720900.0,100000008761219100;100000007472293100;100000006638021100;100000008333492100;100000002794374100,Гипотеза: периферийная группа из 6 узлов без выраженных ролей; 0 seed.,peripheral:6,0.373,1.0
50,6,1,383300.0,100000004094958100;100000005363908100;100000004331458100;100000005546031100;100000005547096100,"Гипотеза: транзитная цепочка из 6 узлов, 2 транзитных счетов; 1 seed, оборот 383 300 ₸.","peripheral:3, transit:2, terminal:1",0.278,1.0
51,5,0,1189154.0,100000000291906100;100000000291908100;100000004670388100;100000004722630100;100000004691350100,"Гипотеза: транзитная цепочка из 5 узлов, 1 транзитных счетов; 0 seed, оборот 1,19 млн ₸.","peripheral:3, transit:1, terminal:1",0.494,1.0
52,5,0,172000.0,100000005031696100;100000004659919100;100000001223977100;100000002700161100;100000008461217100,Гипотеза: периферийная группа из 5 узлов без выраженных ролей; 0 seed.,peripheral:5,0.352,1.0
53,5,1,2809200.0,100000004135268100;100000002738256100;100000007507343100;100000004979498100;100000008571433100,"Гипотеза: транзитная цепочка из 5 узлов, 2 транзитных счетов; 1 seed, оборот 2,81 млн ₸.","transit:2, peripheral:2, terminal:1",0.418,1.0
54,5,2,108007.0,100000006562026100;100000006249740100;100000007347733100;100000008129393100;100000006831291100,"Гипотеза: периферия, деньги оседают у 1 конечного получателя; 2 seed, оборот 108 007 ₸. Низкий приоритет.","peripheral:4, terminal:1",0.229,1.0
55,4,0,518000.0,100000003163886100;100000002205022100;100000000629812100;100000001380107100,"Гипотеза: периферия, деньги оседают у 2 конечных получателей; 0 seed, оборот 518 000 ₸. Низкий приоритет.","terminal:2, peripheral:2",0.379,1.0
56,4,1,1404980.0,100000000785800100;100000001872484100;100000008601794100;100000002459163100,"Гипотеза: транзитная цепочка из 4 узлов, 1 транзитных счетов; 1 seed, оборот 1,40 млн ₸.","peripheral:3, transit:1",0.285,1.0
57,4,0,1595700.0,100000001052945100;100000001131403100;100000004616845100;100000005146665100,Гипотеза: периферийная группа из 4 узлов без выраженных ролей; 0 seed.,peripheral:4,0.359,1.0
58,4,0,832800.0,100000003159641100;100000008625905100;100000001065234100;100000002194320100,Гипотеза: периферийная группа из 4 узлов без выраженных ролей; 0 seed.,peripheral:4,0.344,1.0
59,4,1,79050.0,100000003148220100;100000006888238100;100000001852140100;100000004971871100,Гипотеза: периферийная группа из 4 узлов без выраженных ролей; 1 seed.,peripheral:4,0.105,1.0
60,4,0,332709.0,100000002513028100;100000004610802100;100000002516862100;100000004780083100,Гипотеза: периферийная группа из 4 узлов без выраженных ролей; 0 seed.,peripheral:4,0.327,1.0
61,3,1,450000.0,100000000769919100;100000002371751100;100000007018630100,"Гипотеза: периферия, деньги оседают у 1 конечного получателя; 1 seed, оборот 450 000 ₸. Низкий приоритет.","peripheral:2, terminal:1",0.243,1.0
62,3,0,553830.0,100000003321895100;100000003692843100;100000002371892100,Гипотеза: периферийная группа из 3 узлов без выраженных ролей; 0 seed.,peripheral:3,0.326,1.0
63,3,1,390167.62,100000002781227100;100000002796853100;100000008522127100,"Гипотеза: транзитная цепочка из 3 узлов, 1 транзитных счетов; 1 seed, оборот 390 168 ₸.","peripheral:2, transit:1",0.432,1.0
64,3,0,1557988.0,100000008258458100;100000004035925100;100000008619159100,Гипотеза: периферийная группа из 3 узлов без выраженных ролей; 0 seed.,peripheral:3,0.342,1.0
65,3,1,450816.0,100000005034574100;100000007283257100;100000004388983100,"Гипотеза: периферия, деньги оседают у 2 конечных получателей; 1 seed, оборот 450 816 ₸. Низкий приоритет.","terminal:2, peripheral:1",0.244,1.0
66,3,0,627870.0,100000004666651100;100000008628231100;100000005664632100,"Гипотеза: периферия, деньги оседают у 2 конечных получателей; 0 seed, оборот 627 870 ₸. Низкий приоритет.","terminal:2, peripheral:1",0.376,1.0
67,2,0,761255.0,100000000583220100;100000004586598100,Гипотеза: периферийная группа из 2 узлов без выраженных ролей; 0 seed.,peripheral:2,0.301,1.0
68,2,1,30000.0,100000003980083100;100000003200071100,Гипотеза: периферийная группа из 2 узлов без выраженных ролей; 1 seed.,peripheral:2,0.089,1.0
69,2,1,81465.0,100000003865939100;100000005392290100,Гипотеза: периферийная группа из 2 узлов без выраженных ролей; 1 seed.,peripheral:2,0.113,1.0
70,2,0,584900.0,100000008430691100;100000007330432100,Гипотеза: периферийная группа из 2 узлов без выраженных ролей; 0 seed.,peripheral:2,0.322,1.0
71,2,0,857500.0,100000008324800100;100000007390016100,"Гипотеза: транзитная цепочка из 2 узлов, 1 транзитных счетов; 0 seed, оборот 857 500 ₸.","transit:1, peripheral:1",0.484,1.0
